,order_id,order_item_id,tran_dt,customer_id,dollars,qty,product_id,payment_type_id,category,payment_type
0,1,1,2020-01-01,572,550,1,20,2,D,credit card
1,33,33,2020-01-02,941,1650,3,20,2,D,credit card
2,54,54,2020-01-03,530,550,1,20,2,D,credit card
3,91,91,2020-01-04,663,1100,2,20,2,D,credit card
4,107,107,2020-01-05,108,1100,2,20,2,D,credit card
5,212,214,2020-01-08,490,1100,2,20,2,D,credit card
6,213,215,2020-01-08,231,550,1,20,2,D,credit card
7,339,346,2020-01-13,910,1100,2,20,2,D,credit card
8,370,379,2020-01-14,649,1100,2,20,2,D,credit card
9,378,387,2020-01-14,366,1650,3,20,2,D,credit card
10,364,389,2020-01-14,193,1100,2,20,2,D,credit card
11,380,390,2020-01-14,571,550,1,20,2,D,credit card
12,409,429,2020-01-15,621,550,1,20,2,D,credit card
13,445,458,2020-01-16,19,1100,2,20,2,D,credit card
14,448,461,2020-01-16,607,550,1,20,2,D,credit card
15,465,479,2020-01-17,910,1100,2,20,2,D,credit card
16,9803,492,2020-01-17,910,1650,3,20,2,D,credit card
17,526,541,2020-01-19,196,550,1,20,2,D,credit card
18,529,544,2020-01-19,54,1650,3,20,2,D,credit card
19,531,546,2020-01-19,31,1650,3,20,2,D,credit card
20,555,570,2020-01-20,348,1650,3,20,2,D,credit card
21,681,697,2020-01-24,175,1100,2,20,2,D,credit card
22,693,709,2020-01-24,233,1100,2,20,2,D,credit card
23,719,735,2020-01-25,639,550,1,20,2,D,credit card
24,731,747,2020-01-26,913,1100,2,20,2,D,credit card
25,769,786,2020-01-27,53,550,1,20,2,D,credit card
26,833,852,2020-01-29,644,550,1,20,2,D,credit card
27,835,854,2020-01-29,255,1100,2,20,2,D,credit card
28,898,917,2020-01-30,883,1100,2,20,2,D,credit card
29,952,972,2020-02-01,169,1100,2,20,2,D,credit card
30,969,989,2020-02-02,348,1100,2,20,2,D,credit card
31,971,991,2020-02-02,181,550,1,20,2,D,credit card
32,1000,1022,2020-02-03,315,1650,3,20,2,D,credit card
33,1014,1036,2020-02-03,495,2200,4,20,2,D,credit card
34,1028,1051,2020-02-04,973,1100,2,20,2,D,credit card
35,1031,1054,2020-02-04,573,1650,3,20,2,D,credit card
36,1052,1075,2020-02-04,328,550,1,20,2,D,credit card
